,0
0,"(0.6111111111111112, 0.4874980215217845)"
1,"(0.5888888888888889, 0.4920353294552118)"
2,"(0.5888888888888889, 0.4920353294552118)"
3,"(0.6, 0.48989794855663565)"
4,"(0.6555555555555556, 0.4751867728965133)"
5,"(0.6333333333333333, 0.48189440982669873)"
6,"(0.5111111111111111, 0.49987652796453297)"
7,"(0.5888888888888889, 0.4920353294552118)"
8,"(0.6333333333333333, 0.48189440982669873)"
9,"(0.5111111111111111, 0.49987652796453297)"
10,"(0.5888888888888889, 0.4920353294552118)"
11,"(0.5777777777777777, 0.4939135726865081)"
12,"(0.5444444444444444, 0.4980207740225549)"
13,"(0.6, 0.48989794855663565)"
14,"(0.7, 0.458257569495584)"
15,"(0.5111111111111111, 0.49987652796453297)"
16,"(0.6555555555555556, 0.4751867728965133)"
