,0,1,2,3,4
0,"(0.4444444444444445, 0.06285393610547088)","(0.5222222222222221, 0.13966450099973926)","(0.5111111111111111, 0.03142696805273544)","(0.5777777777777778, 0.0415739709641549)","(0.611111111111111, 0.0684934889218775)"
1,"(0.37777777777777777, 0.015713484026367748)","(0.5, 0.02721655269759086)","(0.39999999999999997, 0.07200822998230956)","(0.7333333333333334, 0.07200822998230959)","(0.6555555555555554, 0.01571348402636772)"
2,"(0.37777777777777777, 0.015713484026367748)","(0.5, 0.02721655269759086)","(0.39999999999999997, 0.07200822998230956)","(0.7333333333333334, 0.07200822998230959)","(0.6555555555555554, 0.01571348402636772)"
3,"(0.41111111111111115, 0.04157397096415491)","(0.43333333333333335, 0.10886621079036347)","(0.3888888888888889, 0.06285393610547091)","(0.611111111111111, 0.03142696805273544)","(0.5666666666666667, 0.05443310539518172)"
4,"(0.3555555555555556, 0.08748897637790902)","(0.41111111111111115, 0.03142696805273547)","(0.43333333333333335, 0.04714045207910316)","(0.611111111111111, 0.06285393610547088)","(0.6777777777777777, 0.01571348402636772)"
5,"(0.3888888888888889, 0.041573970964154924)","(0.4666666666666666, 0.04714045207910316)","(0.4777777777777777, 0.0684934889218775)","(0.7222222222222222, 0.04157397096415493)","(0.6888888888888888, 0.04157397096415489)"
6,"(0.38888888888888884, 0.06849348892187752)","(0.4777777777777777, 0.0955813918560292)","(0.27777777777777773, 0.08314794192830981)","(0.4222222222222222, 0.03142696805273544)","(0.41111111111111115, 0.04157397096415491)"
7,"(0.37777777777777777, 0.015713484026367748)","(0.5, 0.02721655269759086)","(0.39999999999999997, 0.07200822998230956)","(0.7333333333333334, 0.07200822998230959)","(0.6555555555555554, 0.01571348402636772)"
8,"(0.3888888888888889, 0.041573970964154924)","(0.4666666666666666, 0.04714045207910316)","(0.4777777777777777, 0.0684934889218775)","(0.7222222222222222, 0.04157397096415493)","(0.6888888888888888, 0.04157397096415489)"
9,"(0.38888888888888884, 0.06849348892187752)","(0.4777777777777777, 0.0955813918560292)","(0.27777777777777773, 0.08314794192830981)","(0.4222222222222222, 0.03142696805273544)","(0.41111111111111115, 0.04157397096415491)"
10,"(0.37777777777777777, 0.015713484026367748)","(0.5, 0.02721655269759086)","(0.39999999999999997, 0.07200822998230956)","(0.7333333333333334, 0.07200822998230959)","(0.6555555555555554, 0.01571348402636772)"
11,"(0.41111111111111115, 0.05665577237325318)","(0.36666666666666664, 0.07200822998230957)","(0.3222222222222222, 0.10304020550550783)","(0.6, 0.04714045207910316)","(0.5111111111111111, 0.03142696805273544)"
12,"(0.3888888888888889, 0.08314794192830982)","(0.3, 0.04714045207910316)","(0.3, 0.09813067629253164)","(0.41111111111111115, 0.01571348402636772)","(0.4444444444444445, 0.03142696805273544)"
13,"(0.41111111111111115, 0.04157397096415491)","(0.43333333333333335, 0.10886621079036347)","(0.3888888888888889, 0.06285393610547091)","(0.611111111111111, 0.03142696805273544)","(0.5666666666666667, 0.05443310539518172)"
14,"(0.3444444444444444, 0.14989708403591157)","(0.43333333333333335, 0.0)","(0.5555555555555555, 0.0415739709641549)","(0.6444444444444444, 0.0831479419283098)","(0.6444444444444444, 0.0785674201318386)"
15,"(0.45555555555555555, 0.0785674201318386)","(0.3444444444444444, 0.056655772373253165)","(0.3333333333333333, 0.0)","(0.5, 0.05443310539518172)","(0.5111111111111111, 0.0684934889218775)"
16,"(0.3555555555555556, 0.08748897637790902)","(0.41111111111111115, 0.03142696805273547)","(0.43333333333333335, 0.04714045207910316)","(0.611111111111111, 0.06285393610547088)","(0.6777777777777777, 0.01571348402636772)"
